soa_label	protestant_trouble_deaths	catholic_trouble_deaths	total_population	urban	protestant_stronghold	catholic_stronghold	income_deprivation	violent_crime_rate	asb_rate	republican_PSAs	loyalist_PSAs	protestant_trouble_deaths_enforcement	catholic_trouble_deaths_enforcement	catholic_no_go	protestant_no_go
"Aldergrove_1"	1	0	1113	"FALSE"	"FALSE"	"FALSE"	0.085	5.1	3.5	0	0	0	0	0	0
"Aldergrove_2"	0	0	1829	"FALSE"	"FALSE"	"FALSE"	0.094	3	4.8	0	0	0	0	0	0
"Aldergrove_3"	0	0	1502	"FALSE"	"FALSE"	"FALSE"	0.114	4.3	7.2	0	0	0	0	0	0
"Balloo"	0	0	1734	"FALSE"	"FALSE"	"FALSE"	0.094	24.5	45.8	0	0	0	0	0	0
"Ballycraigy"	0	0	1822	"TRUE"	"TRUE"	"FALSE"	0.143	17.2	26.4	0	1	0	0	0	0
"Clady"	1	0	3013	"FALSE"	"FALSE"	"FALSE"	0.127	6.7	8.6	0	0	0	0	0	0
"Cranfield"	0	0	2701	"FALSE"	"FALSE"	"FALSE"	0.12	7.1	7.6	0	0	0	0	0	0
"Crumlin_1_Antrim"	0	0	1953	"TRUE"	"FALSE"	"FALSE"	0.094	14.5	36.9	0	1	0	0	0	0
"Crumlin_2_Antrim"	0	0	2694	"TRUE"	"FALSE"	"FALSE"	0.107	14.9	38.4	0	0	0	0	0	0
"Drumanaway"	0	0	2140	"FALSE"	"FALSE"	"FALSE"	0.128	6.8	18.3	0	0	0	0	0	0
"Farranshane"	0	0	1698	"TRUE"	"FALSE"	"FALSE"	0.141	18.7	44	0	0	0	0	0	0
"Fountain Hill"	0	0	2220	"TRUE"	"FALSE"	"FALSE"	0.136	17.6	31.2	0	0	0	0	0	0
"Greystone_Antrim"	0	0	1953	"TRUE"	"FALSE"	"FALSE"	0.125	34.3	65.2	0	0	0	0	0	0
"Massereene_1"	0	0	2800	"TRUE"	"FALSE"	"FALSE"	0.085	26.8	44.4	0	0	0	0	0	0
"Massereene_2"	0	0	2564	"TRUE"	"FALSE"	"FALSE"	0.075	10.6	21.5	0	0	0	0	0	0
"Parkgate"	0	0	2775	"FALSE"	"TRUE"	"FALSE"	0.112	7.6	12.7	0	0	0	0	0	0
"Randalstown_1"	0	0	1745	"TRUE"	"FALSE"	"FALSE"	0.086	15.3	22.5	0	0	0	0	0	0
"Randalstown_2"	0	0	1562	"TRUE"	"FALSE"	"FALSE"	0.09	14	22.4	0	0	0	0	0	0
"Shilvodan"	5	0	2349	"FALSE"	"FALSE"	"FALSE"	0.105	3.9	6.5	0	0	2	0	0	0
"Springfarm_1"	0	0	2641	"TRUE"	"FALSE"	"FALSE"	0.107	19.2	32.4	0	0	0	0	0	0
"Springfarm_2"	0	0	1545	"TRUE"	"FALSE"	"FALSE"	0.134	17.1	31.9	0	0	0	0	0	0
"Steeple"	0	0	1807	"TRUE"	"FALSE"	"FALSE"	0.111	19.2	40	0	0	0	0	0	0
"Stiles"	0	0	2142	"TRUE"	"FALSE"	"FALSE"	0.108	14.3	45	0	0	0	0	0	0
"Templepatrick"	0	0	2439	"FALSE"	"FALSE"	"FALSE"	0.09	9	12.5	0	0	0	0	0	0
"Toome"	0	0	2687	"FALSE"	"FALSE"	"TRUE"	0.121	8.8	11.4	0	0	0	0	0	0
"Ballygowan_1"	0	0	1574	"FALSE"	"FALSE"	"FALSE"	0.111	1.8	8.3	0	0	0	0	0	0
"Ballygowan_2"	0	0	2035	"FALSE"	"TRUE"	"FALSE"	0.105	9.2	22.2	0	0	0	0	0	0
"Ballyrainey"	0	0	2347	"FALSE"	"FALSE"	"FALSE"	0.145	13.7	30.9	0	2	0	0	0	0
"Ballywalter_1"	0	0	2026	"FALSE"	"TRUE"	"FALSE"	0.158	14.7	32.2	0	1	0	0	0	0
"Ballywalter_2"	0	0	2193	"FALSE"	"TRUE"	"FALSE"	0.156	8.4	23.2	0	2	0	0	0	0
