effectiveness_police	republican_PSAs	loyalist_PSAs	effectiveness_informal	inf_better	informal_good	police_good	age	gender	general_trust	trust_in_neighbourhood	discrim	religion	vict_state_violence_trou	communal_stronghold	soa_deprivation	urban_soa
2	0	0	2	0	1	1	45	"Male"	1	3	0	"NA"	0	0	0.094	0
1	0	0	2	1	1	0	56	"Male"	1	3	0	"Catholic"	0	0	0.114	0
1	0	0	2	1	1	0	42	"Female"	2	2	0	"Protestant"	0	0	0.114	0
1	0	0	3	1	1	0	49	"Male"	2	3	1	"Protestant"	0	0	0.127	0
1	0	0	2	1	1	0	47	"Male"	1	3	0	"Catholic"	0	0	0.12	0
1	0	0				0	59	"Male"	1	3	0	"Catholic"	0	0	0.107	1
1	0	0	3	1	1	0	57	"Male"	2	2	0	"Protestant"	0	0	0.128	0
2	0	0	1	0	0	1	36	"Female"	1	3	0	"Protestant"	0	0	0.125	1
3	0	0	1	0	0	1	75	"Male"	1	3	0	"Catholic"	0	0	0.085	1
1	0	0	2	1	1	0	45	"Female"	1	3	0	"Protestant"	0	1	0.112	0
2	0	0				1	61	"Male"	2	3	1	"Catholic"	0	0	0.09	1
3	0	0	2	0	1	1	69	"Male"	1	3	0	"Protestant"	0	0	0.105	0
2	0	0	2	0	1	1	32	"Female"	1	3	0	"Protestant"	0	0	0.107	1
2	0	0	3	1	1	1	45	"Male"	2	3	1	"Protestant"	0	0	0.134	1
2	0	0	3	1	1	1	42	"Male"	2	3	0	"Protestant"	0	0	0.134	1
2	0	0	3	1	1	1	35	"Female"	1	4	0	"Protestant"	0	0	0.108	1
3	0	0	2	0	1	1	48	"Female"	1	3	0	"Protestant"	0	0	0.111	0
3	0	0	1	0	0	1	45	"Male"	1	3	0	"NA"	0	1	0.105	0
1	0	1	2	1	1	0	42	"Male"	2	3	0	"NA"	1	0	0.145	0
3	0	1	2	0	1	1	54	"Female"	2	3	1	"Protestant"	0	0	0.145	0
2	0	1	3	1	1	1	75	"Female"	2	3	0	"Protestant"	0	0	0.145	0
3	0	1	2	0	1	1	24	"Male"	2	4	0	"NA"	0	1	0.158	0
2	0	0	2	0	1	1	50	"Male"	1	3	0	"Protestant"	0	1	0.14	0
2	0	0	2	0	1	1	68	"Male"	1	4	1	"Protestant"	0	1	0.111	1
2	0	0	3	1	1	1	76	"Female"	1	3	1	"Protestant"	0	1	0.132	1
3	0	2	3	0	1	1	49	"Female"	1	4	0	"NA"	0	1	0.135	1
2	0	2	2	0	1	1	52	"Male"	1	3	0	"Protestant"	0	1	0.135	1
2	0	0	2	0	1	1	65	"Male"	2	3	0	"NA"	0	1	0.111	0
2	0	2	2	0	1	1	56	"Male"	1	3	1	"Catholic"	0	1	0.157	1
3	0	0	2	0	1	1	19	"Male"	1	3	0	"Protestant"	0	1	0.127	1
2	0	1	2	0	1	1	29	"Male"	2	3	1	"Protestant"	0	1	0.165	1
2	0	0	3	1	1	1	20	"Female"	2	3	1	"Catholic"	0	1	0.14	1
2	0	1	3	1	1	1	55	"Female"	1	3	0	"Protestant"	0	1	0.123	0
1	0	0	2	1	1	0	30	"Female"	2	3	0	"Catholic"	0	0	0.127	0
3	0	0	2	0	1	1	61	"Male"	2	3	0	"Protestant"	0	0	0.127	0
1	0	0	3	1	1	0	49	"Female"	1	3	0	"Catholic"	0	0	0.142	0
2	0	2	2	0	1	1	20	"Female"	2	3	0	"Protestant"	0	1	0.134	1
3	0	1	3	0	1	1	26	"Female"	2	3	0	"Protestant"	0	1	0.121	0
3	0	0	2	0	1	1	42	"Male"	2	2	0	"Protestant"	0	0	0.122	1
	0	0					43	"Female"	2	4	0	"Catholic"	0	0	0.127	0
3	0	0				1	29	"Female"	1	3	0	"Catholic"	0	0	0.127	0
2	0	0	2	0	1	1	75	"Female"	1	4	0	"Catholic"	0	1	0.127	1
2	0	0	2	0	1	1	38	"Female"	1	3	0	"Protestant"	0	0	0.144	0
2	2	0	1	0	0	1	29	"Male"	2	2	1	"Catholic"	0	1	0.202	1
3	0	0	3	0	1	1	47	"Female"	1	4	1	"Catholic"	0	0	0.178	0
1	0	0	1	0	0	0	18	"Male"	1	3	0	"Catholic"	0	0	0.178	0
1	0	0	2	1	1	0	19	"Male"	1	4	0	"Protestant"	0	0	0.178	0
2	0	0	2	0	1	1	38	"Male"	1	3	0	"Catholic"	0	0	0.092	1
2	0	0	3	1	1	1	75	"Female"	2	3	1	"Catholic"	0	0	0.092	1
2	0	0				1	89	"Female"	2	3	0	"Catholic"	0	0	0.092	1
3	1	0	3	0	1	1	78	"Female"	2	3	0	"Catholic"	0	0	0.123	1
3	1	0	2	0	1	1	52	"Male"	1	3	0	"Catholic"	0	0	0.123	1
2	1	0	2	0	1	1	61	"Female"	2	3	0	"Catholic"	0	0	0.123	1
2	0	0	2	0	1	1	27	"Male"	1	4	0	"Catholic"	0	1	0.157	1
3	0	0	3	0	1	1	47	"Male"	2	3	0	"Protestant"	0	0	0.119	0
3	0	0				1	73	"Male"	2	3	0	"Protestant"	0	1	0.115	0
2	1	0	2	0	1	1	20	"Male"	2	4	1	"Catholic"	0	1	0.211	0
3	0	0	1	0	0	1	67	"Female"	2	4	0	"Protestant"	0	0	0.117	0
2	0	0	2	0	1	1	54	"Female"	1	4	0	"Catholic"	0	0	0.144	0
3	0	0	2	0	1	1	55	"Female"	1	3	0	"Protestant"	0	0	0.144	0
1	0	0	3	1	1	0	52	"Male"	1	4	0	"Catholic"	0	0	0.144	0
2	0	0	1	0	0	1	50	"Male"	1	4	0	"Protestant"	0	0	0.156	0
1	0	0	2	1	1	0	36	"Male"	2	3	0	"Protestant"	0	0	0.164	0
3	0	0	3	0	1	1	71	"Male"	1	4	0	"Catholic"	0	0	0.124	0
2	0	0	1	0	0	1	18	"Male"	1	3	0	"Protestant"	0	0	0.124	0
2	0	0	2	0	1	1	77	"Female"	1	3	1	"Catholic"	0	0	0.124	0
